SF_UPDATED_TS,QV_UPDATED_TS,DMS_UPDATED_TS,ID,NAME,ABBREVIATION,LOCATION,LATITUDE,LONGITUDE,CONTACT,DATATABLE,DATE_ADDED,VOCERAENABLED,VOCERAEMAIL,VOCERANAME,TIMEZONE,QV_CREATED_TS,METAINFO,AUTO_ARCHIVE_NUDGE_DURATION,AUTO_ARCHIVE_NUDGES,EMR_HOSPITAL_ID
2023-08-09T23:21:42.329Z,2023-08-09T23:19:02.337797Z,2023-08-09T23:19:02.337797Z,1,Test Hospita1l,,,0,0,,,2023-08-08T00:00:00Z,0,,,America/New_York,2023-08-08T07:50:42.437928Z,{},24,1,
2023-08-17T00:04:18.017Z,2023-08-17T00:02:17.023051Z,2023-08-17T00:02:17.023051Z,2,Northwestern Memorial Hospital,NMH,"251 East Huron Street Chicago, Illinois 60611",41.89494,-87.62136,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:00:03Z,{},24,1,
2023-08-17T00:07:20.678Z,2023-08-17T00:05:12.525741Z,2023-08-17T00:05:12.525741Z,4,Palos Hospital,PH,"12251 South 80th Avenue Palos Heights, Illinois 60",41.66993,-87.81283,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:03:56Z,{},24,1,
2023-08-17T00:09:57.589Z,2023-08-17T00:07:48.917521Z,2023-08-17T00:07:48.917521Z,5,Delnor Hospital,DCH,"300 S Randall Road Geneva, Illinois 60134",41.88659,-88.34364,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:05:14Z,{},24,1,
2023-08-17T00:11:59.59Z,2023-08-17T00:09:49.985327Z,2023-08-17T00:09:49.985327Z,6,McHenry Hospital,MCH,"4201 West Medical Center Drive McHenry, Illinois 6",42.31836,-88.27958,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:07:48Z,{},24,1,
2023-08-17T00:17:06.604Z,2023-08-17T00:15:07.790962Z,2023-08-17T00:15:07.790962Z,9,Kishwaukee Hospital,KH,"1 Kish Hospital Drive DeKalb, Illinois 60115",41.96146,-88.72274,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:13:49Z,{},24,1,
2023-08-17T00:22:37.332Z,2023-08-17T00:21:56.346708Z,2023-08-17T00:21:56.346708Z,13,Valley West Hospital,VWH,"1302 North Main Street Sandwich, Illinois 60548",41.65795,-88.62097,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:20:34Z,{},24,1,
2023-10-19T17:40:16.657Z,2023-10-19T17:38:55.267221Z,2023-10-19T17:38:55.267221Z,15,Bloomingdale Pain and Spine Center,BPSC,"245 South Gary Avenue Bloomingdale, Illinois 60108",41.943432213,-88.1190012,alisonmoore@qventus.com,,2023-10-19T00:00:00Z,0,,,America/Chicago,2023-10-19T10:32:49Z,{},24,1,
2023-12-14T23:19:33.528Z,2023-12-14T23:17:29.228683Z,2023-12-14T23:17:29.228683Z,7,Huntley Hospital,HH,"10400 Haligus Road Huntley, Illinois 60142",42.178241335,-8.83996229746011e+15,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:09:45Z,{},24,1,
2023-12-14T23:21:44.765Z,2023-12-14T23:19:50.010895Z,2023-12-14T23:19:50.010895Z,8,Lake Forest Hospital,LFH,"1000 North Westmoreland Road Lake Forest, Illinois",42.255644374,-8.78652891481587e+15,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:12:19Z,{},24,1,
2024-01-30T16:45:16.418Z,2024-01-30T16:43:49.619247Z,2024-01-30T16:43:49.619247Z,14,NM Surgery Center Sycamore,MSC,"2120 Midlands Court Sycamore, Illinois 60178",41.96791,-88.71587,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:21:53Z,{},24,1,
2024-01-30T16:45:16.418Z,2024-01-30T16:44:19.944785Z,2024-01-30T16:44:19.944785Z,3,Central Dupage Hospital,CDH,"25 North Winfield Road Winfield, Illinois 60190",41.87435,-88.15677,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:02:15Z,{},24,1,
2024-02-05T23:17:48.135Z,2024-02-05T23:15:39.739698Z,2024-02-05T23:15:39.739698Z,10,NM Surgery Center Warrenville,CASC,"27650 Ferry Road Suite 140 Warrenville, Illinois 6",41.81223,-88.16247,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:15:04Z,{},24,1,
2024-02-05T23:17:48.135Z,2024-02-05T23:16:25.297716Z,2024-02-05T23:16:25.297716Z,12,Palos Health Surgery Center,PHSC,"15300 West Avenue Main Entrance 1, Suite 260 Orlan",41.61163,-87.865,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:18:52Z,{},24,1,
2024-02-05T23:17:48.135Z,2024-02-05T23:17:10.82833Z,2024-02-05T23:17:10.82833Z,11,Grayslake Outpatient Center,GLH,"1475 East Belvidere Road Grayslake, Illinois 60030",42.33766,-88.01119,alisonmoore@qventus.com,,2023-08-16T00:00:00Z,0,,,America/Chicago,2023-08-16T17:17:01Z,{},24,1,
2024-03-29T17:56:12.578Z,2024-03-29T17:55:15.535829Z,2024-03-29T17:55:15.535829Z,16,River North Same Day Surgery Center,RNSC,"1 E Erie St Ste 300, Chicago, IL 60611",41.894666795,-8.76278580846553e+16,Michael Harris,,2024-02-20T00:00:00Z,0,,,America/Chicago,2024-02-20T09:43:10Z,{},24,1,
